Job Title,Job Company,Job Location,Job Type,Job Pay,Job Excerpt
Temporary Communicable Disease Covid-19 Case Investigator,Ingham County,"Cedar, MI",Not remote,Pay details not available,"

Works closely with Contact Tracing team and refers close contacts for quarantine and monitoring.
Investigates reported COVID-19 cases by interviewing infected…
"
Public Health Data Systems Analyst (Interoperability Team),Heluna Health,"Richmond, CA",Not remote,Pay details not available,"

Serve as a CalREDIE point of contact to ensure data is generated, exchanged, managed and available between systems and is accessible to epidemiologists, case…
"
COVID CONTACT TRACING RN - BIG SKY,Bozeman Deaconess Hospital,"Big Sky, MT 59716",Not remote,Pay details not available,"

Under the general supervision of the system director of clinical practice and the Big Sky Medical Center nursing manager, with direct oversight and guidance…
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Public Health Nurse I-Temporary,County of Nevada,"Grass Valley, CA 95945",Not remote,$33.42 - $40.79 an hour,"

Participates in epidemiological investigations and communicable disease control activities, including contact tracing and surveillance.
"
Public Health Nurse (RN) - Term Limited,Muckleshoot Indian Tribe,"Auburn, WA 98092",Not remote,Pay details not available,"

The Public Health Nurse is responsible for assisting with COVID-19 contact tracing, supporting clinical needs of COVID-19 pandemic on MIT reservation and…
"
COVID-19 Disease Reactor Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes coordinating between case investigation, contact tracing and outbreak investigation teams to ensure client and contact data is appropriately…
"
Testing Community Health Nurse (CHN) - Limited Duration Assi...,"Multnomah County, OR","Portland, OR",Not remote,$38.56 - $49.57 an hour,"

Documenting case investigation and contact tracing activities in ORPHEUS.
Initiating investigation within 48 hours of reception all assigned, workable contacts.
"
RN/LPN - Community Health Covid 19 Nurse,Sadler Health Center Corp,"Carlisle, PA 17013",Not remote,$24 - $36 an hour,"

Ensuring proper safety protocols and procedures are followed.
Ensure care coordination of Covid Tested patients.
Performing swab testing and sample collection.
"
Project Director - Health Department,City of Baltimore,"Street, MD",Not remote,"$80,000 a year","

These managers will oversee supervisors of Community Health Workers performing contact tracing, public health messaging, and additional public health activities…
"
LTE-Local Testing and Contact Tracing Coordinator,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Knowledge of protecting patient and close contact privacy.
The Local Testing and Contact Tracing Coordinator will scale up, train, and manage contact tracers…
"
"COVID-19 CASE INVESTIGATOR, BILINGUAL - ACHN MOBILE TESTING...",Cook County Health & Hospitals System,"Chicago, IL",Not remote,Pay details not available,"

Assigns contacts to COVID-19 Contact Tracers on their team to conduct contact tracing.
Collects information on all immediate household contacts to monitor for…
"
"Public Health Lead RN - Fairbanks, Alaska - Tanana Chiefs Co...",Alaska Native Tribal Health Consortium,"Fairbanks, AK 99701",Not remote,Pay details not available,"

Manages staff schedules for contact tracers, ensuring coverage for contact notification and monitoring.
Manages recruitment and retention of contact tracers and…
"
MEDICAL ASSISTANT - PUBLIC HEALTH MOBILE TESTING,Cook County Health & Hospitals System,"Chicago, IL",Not remote,$17.65 an hour,"

ROTATING SHIFTS: 7:00 AM – 3:00 PM; 9:00 AM - 5:00 PM; 11:00 AM - 7:00 PM (including weekends).
Under the supervision of licensed personnel, the Medical…
"
Community Health Navigator - Temporary,Catholic Charities of Baltimore,"Baltimore, MD 21230 (West Baltimore area)",Not remote,Pay details not available,"

Provide education on COVID-19, isolation protocols, contact tracing, and refer contacts to testing as needed.
Provides guidance regarding isolation for patients…
"
Immunization and Case Investigation Nursing Supervisor (LDA)...,"Multnomah County, OR","Portland, OR",Not remote,"$72,391 - $108,586 a year","

Assures vaccination is integrated with COVID testing, case investigation, outreach, contact tracing, wraparound services and other clinical services, with…
"
COMMUNITY HEALTH NURSE II (FULL TIME CONTRACTUAL),State of Maryland,"St. Mary's City, MD",Not remote,$23.96 - $31.10 an hour,"

This position is responsible for participating in and coordinating investigations and contact tracing of infectious diseases.
"
Registered Nurse- District Health Coordinator,Crane Elementary School District 13,"Yuma, AZ",Not remote,Pay details not available,"

Serves as a district COVID-19 investigator, includes interviewing for contact tracing, review for return to school or worksite, and modification of policy or…
"
On Call Registered Nurse - Public Health Nurse - Health Depa...,Grand Traverse County,"Traverse City, MI 49684 (Downtown area)",Not remote,$21.41 - $28.63 an hour,"

The Public Health Nurse I/II provides comprehensive, skilled, and specialized nursing care under a physician's order.
For Public Health Nurse I.
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Partner Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

Maintain communication with partners and ensure contact tracing follows health department policies.
Communicate with local partners to recruit, establish, and…
"
Registered Nurse- District Health Coordinator,Crane Elementary School District 13,"Yuma, AZ",Not remote,Pay details not available,"

Serves as a district COVID-19 investigator, includes interviewing for contact tracing, review for return to school or worksite, and modification of policy or…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
Travel Nurse - Rate $55/hr - Wave Health,Wave Health Partners,Not specified,Not remote,$55.00 - $82.50 an hour,"

Nurses will have the flexibility to pick their own schedule, hours, and vacation times.
Below are some additional details for this new travel nursing…
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
MEDICAL ASSISTANT - PUBLIC HEALTH MOBILE TESTING,Cook County Health & Hospitals System,"Chicago, IL",Not remote,$17.65 an hour,"

ROTATING SHIFTS: 7:00 AM – 3:00 PM; 9:00 AM - 5:00 PM; 11:00 AM - 7:00 PM (including weekends).
Under the supervision of licensed personnel, the Medical…
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
Partner Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

Maintain communication with partners and ensure contact tracing follows health department policies.
Communicate with local partners to recruit, establish, and…
"
Community Health Worker / Care Coordination Director - Healt...,City of Baltimore,"Street, MD",Not remote,"$80,000 a year","

The Director will also be the point of contact for all community stakeholders as well as the Baltimore City Health Department.
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
Registered Nurse/COVID 19 Contact Tracing & Testing-Temporar...,HPM Corporation,"Richland, WA 99354",Not remote,Pay details not available,"

Ability to conduct contact tracing per CDC, state and local health district guidelines.
Conduct contact tracing following the CDC, Washington State Department…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
LPN - Licensed Practical Nurse - Employee Health- Columbine...,Columbine Health Systems,"Fort Collins, CO 80526",Not remote,Pay details not available,"

This LPN position offers competitive pay, Monday through Friday with every other weekend on-call duty for COVID-19 Contact Tracing.
18 years of age or older.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
Contact Tracer,Staffing Etc.,Not specified,Remote,$25 an hour,"

The Contact Tracer will work from home using a web-based platform and telephone to communicate with assigned contacts, obtain symptom information, refer…
"
Urgent Need for Contact Tracer,Staffing Etc.,Not specified,Remote,$25 an hour,"

The Contact Tracer will work from home using a web-based platform and telephone to communicate with assigned contacts, obtain symptom information, refer…
"
Case Investigator - Covid 19,Saginaw County,"Saginaw, MI 48602",Not remote,Pay details not available,"

Works closely with Contact Tracing team and refers close contacts for quarantine and monitoring.
Essential Functions• Investigates reported COVID-19 cases by…
"
BUSINESS ANALYST - CONTACT TRACING UNIT (IT PROGRAMMER ANALY...,State of Maryland,"Baltimore, MD 21201 (Madison Park area)",Not remote,"$53,214 - $69,215 a year","

Incumbent will also be responsible for gathering requirements from end users (Local Health Department contact tracers); prioritizing new features for…
"
Infection Prevention - Contact Tracing clinician (Temporary),Kaiser Permanente,"Seattle, WA 98101 (Downtown area)",Not remote,Pay details not available,"

Provide consultation and leadership to clinical care teams in meeting team and roadmap goals.
Collaborate with area medical staff, team managers and members,…
"
Case Navigator - COVID-19 Contact Tracing Program (Remote -...,AM Trace,Remote,Not remote,Pay details not available,"

Track daily and weekly progress for the unit, including cases contacted successfully, contacts tracked and referred, and patients and contacts referred to…
"
"Assistant Director, Case Investigation, COVID Program - Heal...","City of Baltimore, MD","Baltimore, MD",Temporarily remote,"$83,000 a year","

Oversee programs related to COVID case investigation and contact tracing, including management of a dynamic and fast moving team of contact tracers and case…
"
COVID-19 Investigator-Supervisor,Salud Para La Gente,"Watsonville, CA 95076",Not remote,Pay details not available,"

Assists with triage and coordination of next steps for isolation for cases, and quarantine for individuals with whom the C+ person has been in contact.
"
COORDINATOR CONTACT TRACING HR,Fort Bend Independent School District,"Sugar Land, TX",Not remote,Pay details not available,"

The Coordinator Contact Tracing will support the District's contact tracing process of interviewing those who have tested positive for the virus, determining…
"
Community Health Worker/ Data Coordinator - Health Departmen...,"City of Baltimore, MD","Baltimore, MD",Not remote,"$55,000 a year","

Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community health workers.
"
Case Investigation Nurse,WellSpan Health,"York, PA",Remote,Pay details not available,"

Conduct telephone calls with persons diagnosed with COVID-19 to complete case interviews and elicit information of contacts exposed to COVID-19.
"
Bilingual Case Investigator (Part-time),Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
Urgent Need for Contact Tracer,Staffing Etc.,Not specified,Remote,$25 an hour,"

The Contact Tracer will work from home using a web-based platform and telephone to communicate with assigned contacts, obtain symptom information, refer…
"
"COVID Watch Manager, University Health Services",University of Cincinnati,"Cincinnati, OH 45221 (CUF area)",Not remote,Pay details not available,"

Work with the COVID Check Contact Tracing Team of case investigators and contact tracers to ensure proper CDC guidelines are implemented.
"
"Community Health Navigator- Temporary through March, 2021",Catholic Charities of Baltimore,"Baltimore, MD 21230 (West Baltimore area)",Not remote,Pay details not available,"

Provide education on COVID-19, isolation protocols, contact tracing, and refer contacts to testing as needed.
Provides guidance regarding isolation for patients…
"
Public Health Data Manager (Interoperability Team),Heluna Health,"Richmond, CA",Not remote,Pay details not available,"

Serve as a CalREDIE point of contact to ensure data is generated, exchanged, managed and available between systems and is accessible to epidemiologists, case…
"
COVID-19 Public Health Manager,Cook Inlet Tribal Council Inc,"Anchorage, AK 99508 (Airport Heights area)",Not remote,Pay details not available,"

Will work collaboratively with the State of Alaska Public Health Department on contact tracing within the community as requested.
"
Health Worker 2,City & County of San Francisco,"San Francisco, CA (South of Market area)",Not remote,$28.41 - $34.51 an hour,"

May also be responsible for interviewing and providing support to close contacts within the households;
Assist with patient navigation, conduct patient research…
"
"COVID Testing, Symptom Management and Contact Tracing Manage...",Deaconess Abundant Life Communities,"Concord, MA",Not remote,Pay details not available,"

Serves as the main point of contact for results and scheduling of appointments.
Collaborates with Leadership teams when positive results are identified,…
"
Bilingual Spanish Case Investigator,Heluna Health,"San Francisco, CA",Not remote,$31.08 - $34.25 an hour,"

May also be responsible for interviewing and providing support to close contacts within the household.
Under the direction and guidance of the Shift Team Leader…
"
Case Investigation Nurse,WellSpan Health,"York, PA",Remote,Pay details not available,"

Conduct telephone calls with persons diagnosed with COVID-19 to complete case interviews and elicit information of contacts exposed to COVID-19.
"
Environmental Health/Outreach,Illinois Public Health Association,"Belleville, IL 62220",Not remote,$8 - $10 an hour,"

Provide assistance with COVID-19 team, contact tracing and telephone inquiries.
Provide Assistance with the Food Program, especially with updating contact…
"
Public Health Nurse- COVID-19 Contact Tracing Program (Remot...,AM LLC,Alaska,Remote,Pay details not available,"

Call, text, and/or email case or contacts on prescribed frequency (as much as 2x a day to in some cases every 3 days) to check/inquire about COVID-19 symptoms…
"
Director of Health Services,Marist College,Not specified,Not remote,Pay details not available,"

This position is part of the medical team which is responsible for coordinating the College’s response to the pandemic, including managing in-house antigen…
"
Community Health Worker / Care Coordination Director - Healt...,City of Baltimore,"Street, MD",Not remote,"$80,000 a year","

The Director will also be the point of contact for all community stakeholders as well as the Baltimore City Health Department.
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
Representantes Bilingues en Ingles y Espanol Call Center COV...,MCI Careers,Not specified,Not remote,Pay details not available,"

Complete research of beneficiary contact history and report findings to management.
Handle inbound and outbound contacts in a courteous, timely, and…
"
Registered Nurse/COVID 19 Contact Tracing & Testing-Temporar...,HPM Corporation,"Richland, WA 99354",Not remote,Pay details not available,"

Ability to conduct contact tracing per CDC, state and local health district guidelines.
Conduct contact tracing following the CDC, Washington State Department…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
LPN - Licensed Practical Nurse - Employee Health- Columbine...,Columbine Health Systems,"Fort Collins, CO 80526",Not remote,Pay details not available,"

This LPN position offers competitive pay, Monday through Friday with every other weekend on-call duty for COVID-19 Contact Tracing.
18 years of age or older.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
Partner Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

Maintain communication with partners and ensure contact tracing follows health department policies.
Communicate with local partners to recruit, establish, and…
"
Community Health Worker / Care Coordination Director - Healt...,City of Baltimore,"Street, MD",Not remote,"$80,000 a year","

The Director will also be the point of contact for all community stakeholders as well as the Baltimore City Health Department.
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
Registered Nurse/COVID 19 Contact Tracing & Testing-Temporar...,HPM Corporation,"Richland, WA 99354",Not remote,Pay details not available,"

Ability to conduct contact tracing per CDC, state and local health district guidelines.
Conduct contact tracing following the CDC, Washington State Department…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
LPN - Licensed Practical Nurse - Employee Health- Columbine...,Columbine Health Systems,"Fort Collins, CO 80526",Not remote,Pay details not available,"

This LPN position offers competitive pay, Monday through Friday with every other weekend on-call duty for COVID-19 Contact Tracing.
18 years of age or older.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
LTE-Local Testing and Contact Tracing Coordinator,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Knowledge of protecting patient and close contact privacy.
The Local Testing and Contact Tracing Coordinator will scale up, train, and manage contact tracers…
"
Partner Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

Maintain communication with partners and ensure contact tracing follows health department policies.
Communicate with local partners to recruit, establish, and…
"
Registered Nurse- District Health Coordinator,Crane Elementary School District 13,"Yuma, AZ",Not remote,Pay details not available,"

Serves as a district COVID-19 investigator, includes interviewing for contact tracing, review for return to school or worksite, and modification of policy or…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
MEDICAL ASSISTANT - PUBLIC HEALTH MOBILE TESTING,Cook County Health & Hospitals System,"Chicago, IL",Not remote,$17.65 an hour,"

ROTATING SHIFTS: 7:00 AM – 3:00 PM; 9:00 AM - 5:00 PM; 11:00 AM - 7:00 PM (including weekends).
Under the supervision of licensed personnel, the Medical…
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
LTE-Local Testing and Contact Tracing Coordinator,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Knowledge of protecting patient and close contact privacy.
The Local Testing and Contact Tracing Coordinator will scale up, train, and manage contact tracers…
"
Partner Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

Maintain communication with partners and ensure contact tracing follows health department policies.
Communicate with local partners to recruit, establish, and…
"
Registered Nurse- District Health Coordinator,Crane Elementary School District 13,"Yuma, AZ",Not remote,Pay details not available,"

Serves as a district COVID-19 investigator, includes interviewing for contact tracing, review for return to school or worksite, and modification of policy or…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
MEDICAL ASSISTANT - PUBLIC HEALTH MOBILE TESTING,Cook County Health & Hospitals System,"Chicago, IL",Not remote,$17.65 an hour,"

ROTATING SHIFTS: 7:00 AM – 3:00 PM; 9:00 AM - 5:00 PM; 11:00 AM - 7:00 PM (including weekends).
Under the supervision of licensed personnel, the Medical…
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
